Country,Bachelor Program,Year,Semester,Subject,Unit Name,Topic,Subtopic,Learning Outcome
Norway,Sports Science,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Skeletal and muscular anatomy, nerves, and joints",Describe the key anatomical and physiological systems in relation to sport
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Skeletal and muscular anatomy, nerves, and joints",Explain how biomechanics contribute to performance and injury prevention
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Skeletal and muscular anatomy, nerves, and joints",Analyze sporting movements and apply physiological principles to training and health
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Cardiovascular and respiratory systems, energy metabolism",Describe the key anatomical and physiological systems in relation to sport
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Cardiovascular and respiratory systems, energy metabolism",Explain how biomechanics contribute to performance and injury prevention
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Cardiovascular and respiratory systems, energy metabolism",Analyze sporting movements and apply physiological principles to training and health
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Fluid regulation, thermoregulation, movement mechanics",Describe the key anatomical and physiological systems in relation to sport
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Fluid regulation, thermoregulation, movement mechanics",Explain how biomechanics contribute to performance and injury prevention
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Fluid regulation, thermoregulation, movement mechanics",Analyze sporting movements and apply physiological principles to training and health
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Newtonian principles, movement analysis, technique optimization",Describe the key anatomical and physiological systems in relation to sport
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Newtonian principles, movement analysis, technique optimization",Explain how biomechanics contribute to performance and injury prevention
,,1,1,Sports Science,"Physiology, Anatomy & Movement Science",Human Body Systems & Biomechanics,"Newtonian principles, movement analysis, technique optimization",Analyze sporting movements and apply physiological principles to training and health
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Techniques, rules, and tactics in individual and team sports",Demonstrate proficiency in practical sport skills
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Techniques, rules, and tactics in individual and team sports",Instruct and evaluate training for diverse participant groups
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Techniques, rules, and tactics in individual and team sports",Analyze personal skill development and support others’ learning
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,Fundamental motor skills in dance and swimming,Demonstrate proficiency in practical sport skills
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,Fundamental motor skills in dance and swimming,Instruct and evaluate training for diverse participant groups
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,Fundamental motor skills in dance and swimming,Analyze personal skill development and support others’ learning
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Methods for skill progression, training design, and reflection",Demonstrate proficiency in practical sport skills
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Methods for skill progression, training design, and reflection",Instruct and evaluate training for diverse participant groups
,,1,1,Sports Science,Sports Activities 1,Practical Skills in Sport & Activity Instruction,"Methods for skill progression, training design, and reflection",Analyze personal skill development and support others’ learning
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Planning and execution of outdoor activities (hiking, camping)",Conduct safe and engaging outdoor recreation in various terrains
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Planning and execution of outdoor activities (hiking, camping)",Facilitate group learning in natural environments
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Planning and execution of outdoor activities (hiking, camping)",Reflect critically on the role of friluftsliv in personal and societal well-being
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Environmental safety, group dynamics, leadership outdoors",Conduct safe and engaging outdoor recreation in various terrains
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Environmental safety, group dynamics, leadership outdoors",Facilitate group learning in natural environments
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,"Environmental safety, group dynamics, leadership outdoors",Reflect critically on the role of friluftsliv in personal and societal well-being
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,Use of outdoor environments as educational and motivational tools,Conduct safe and engaging outdoor recreation in various terrains
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,Use of outdoor environments as educational and motivational tools,Facilitate group learning in natural environments
,,1,2,Sports Science,Outdoor Life & Sports Activities,Friluftsliv & Nature-Based Sport Education,Use of outdoor environments as educational and motivational tools,Reflect critically on the role of friluftsliv in personal and societal well-being
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Fitness testing methods, training intensity & recovery",Design personalized training programs based on fitness principles
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Fitness testing methods, training intensity & recovery",Interpret training responses and adjust plans effectively
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Fitness testing methods, training intensity & recovery",Integrate scientific knowledge into practical coaching scenarios
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Periodization models, adaptation to training, performance monitoring",Design personalized training programs based on fitness principles
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Periodization models, adaptation to training, performance monitoring",Interpret training responses and adjust plans effectively
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Periodization models, adaptation to training, performance monitoring",Integrate scientific knowledge into practical coaching scenarios
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Principles for strength, endurance, flexibility, and speed development",Design personalized training programs based on fitness principles
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Principles for strength, endurance, flexibility, and speed development",Interpret training responses and adjust plans effectively
,,1,2,Sports Science,Training Science,Foundations of Training & Performance Optimization,"Principles for strength, endurance, flexibility, and speed development",Integrate scientific knowledge into practical coaching scenarios
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Motivation, stress management, and team cohesion",Explain sport psychology principles in coaching contexts
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Motivation, stress management, and team cohesion",Design and deliver leadership strategies in training environments
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Motivation, stress management, and team cohesion",Reflect on motivational and communicative aspects of athlete development
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,Coaching methods and athlete leadership,Explain sport psychology principles in coaching contexts
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,Coaching methods and athlete leadership,Design and deliver leadership strategies in training environments
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,Coaching methods and athlete leadership,Reflect on motivational and communicative aspects of athlete development
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Communication, feedback, and ethical coaching practice",Explain sport psychology principles in coaching contexts
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Communication, feedback, and ethical coaching practice",Design and deliver leadership strategies in training environments
,,2,3,Sports Science,Sport Psychology & Training Leadership,Mental Factors and Leadership in Sport,"Communication, feedback, and ethical coaching practice",Reflect on motivational and communicative aspects of athlete development
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Sport-specific testing: performance profiling,Analyze sport demands and athlete capacity through data
